=====================================================================================
  1进2战法回测 — 完整交易记录
=====================================================================================

==== 回测概况 ====
   回测天数: 60天 | 有效交易日: 57天
   akshare覆盖: 13天 | TDX回退: 44天
   总候选: 277笔 | 有效交易: 254笔 | 高开放弃: 23笔

==== 交易统计 ====
   胜: 88笔 | 负: 131笔 | 超时: 35笔
   胜率: 40.2% | 平均收益: -0.1%
   平均盈利: 7.0% | 平均亏损: -5.0%
   总盈利: 616.5% | 总亏损: 658.7% | 盈亏比: 0.94
   滚动10笔胜率(最近5段): [30.0, 40.0, 50.0, 50.0, 50.0]

==== 按数据源分组 ====
   数据源:akshare: 53笔 胜率45.5% 均收益0.4%
   数据源:tdx: 201笔 胜率38.9% 均收益-0.2%

==== 按评分分组 ====
   评分<60(一般): 53笔 胜率45.5% 均收益0.4%
   评分≥80(优质): 201笔 胜率38.9% 均收益-0.2%

==== 按持仓天数分组 ====
   持仓0天: 116笔 胜率39.8% 均收益-0.2%
   持仓1天: 70笔 胜率41.4% 均收益-0.1%
   持仓2天: 25笔 胜率36.0% 均收益-0.7%
   持仓3天: 43笔 胜率45.5% 均收益0.5%

==== 全部交易记录 (254笔) ====
   入场日          代码       名称       结果         收益%   持仓      入场价      离场价   评分   源
   2026-04-29   600744   600744   [负]   -5.0%   1天     8.99     8.54 100分 tdx
   2026-04-29   600770   600770   [胜]   +7.0%   0天     7.32     7.83 100分 tdx
   2026-04-28   600707   600707   [负]   -5.1%   0天     8.91     8.46 100分 tdx
   2026-04-28   600726   600726   [胜]   +7.0%   0天     6.33     6.77 100分 tdx
   2026-04-28   600152   600152   [胜]   +7.0%   0天    14.55    15.57  95分 tdx
   2026-04-28   600246   600246   [负]   -5.0%   1天    10.66    10.13  95分 tdx
   2026-04-28   600433   600433   [胜]   +7.0%   2天     4.40     4.71  95分 tdx
   2026-04-27   600726   600726   [负]   -5.0%   0天     5.64     5.36 100分 tdx
   2026-04-27   000546   000546   [胜]   +7.1%   0天     6.94     7.43 100分 tdx
   2026-04-27   600208   600208   [负]   -5.0%   0天     4.81     4.57  90分 tdx
   2026-04-27   600545   600545   [胜]   +7.1%   0天     4.53     4.85  90分 tdx
   2026-04-24   600186   600186   [负]   -5.0%   0天     9.58     9.10 100分 tdx
   2026-04-24   600310   600310   [负]   -5.7%   1天     5.29     4.99 100分 tdx
   2026-04-24   600396   600396   [负]   -5.0%   0天     9.65     9.17 100分 tdx
   2026-04-24   600726   600726   [负]   -5.1%   1天     5.53     5.25 100分 tdx
   2026-04-23   600396   600396   [负]   -5.0%   0天     9.29     8.83 100分 tdx
   2026-04-23   000751   000751   [负]   -5.0%   3天     6.40     6.08 100分 tdx
   2026-04-23   002418   002418   [负]   -5.1%   0天     6.91     6.56 100分 tdx
   2026-04-22   600396   600396   [胜]   +7.0%   0天     8.13     8.70 100分 tdx
   2026-04-22   000539   000539   [负]   -5.4%   1天     6.79     6.42 100分 tdx
   2026-04-22   000690   000690   [超]   +4.0%   3天     5.25     5.46 100分 tdx
   2026-04-22   600103   600103   [负]   -5.1%   0天     5.50     5.22  95分 tdx
   2026-04-22   600979   600979   [胜]   +7.0%   0天     5.31     5.68  95分 tdx
