date,sh_close,sh_open,sh_high,sh_low,sh_chg,sh_amount,gz_close,gz_open,gz_high,gz_low,gz_chg,gz_amount,sz_close,sz_open,sz_high,sz_low,sz_chg,sz_amount,hs_close,hs_open,hs_high,hs_low,hs_chg,hs_amount,up_count,down_count,flat_count,limit_up,limit_down,scanned,sh_ma20,sh_ma60,sh_trend,sh_trend_now,sh_beichi
2026-01-08,4082.98,4077.72,4093.87,4067.12,-0.07,1183188779008.0,10468.51,10326.39,10487.6,10326.39,1.16,909020102656.0,13959.48,13971.89,14033.59,13883.81,-0.51,1617195827200.0,4737.65,4761.01,4765.49,4717.01,-0.82,630655614976.0,5580,3170,219,138,16,9123,3943.48,3937.7,盘整,盘整,False
2026-01-09,4120.43,4086.76,4121.72,4083.62,0.92,1289205972992.0,10673.61,10471.62,10675.54,10471.62,1.96,1057920647168.0,14120.15,13917.78,14139.54,13917.78,1.15,1833561227264.0,4758.92,4725.96,4771.43,4719.13,0.45,668788785152.0,6974,1738,257,170,4,9143,3954.48,3941.17,盘整,盘整,False
2026-01-12,4165.29,4134.89,4168.36,4119.88,1.09,1446230097920.0,10985.02,10758.06,11000.31,10733.63,2.92,1224348401664.0,14366.91,14186.86,14391.28,14089.59,1.75,2155220041728.0,4789.92,4769.65,4795.93,4737.57,0.65,799954108416.0,7071,1676,226,392,3,9368,3969.08,3945.32,盘整,盘整,False
2026-01-13,4138.76,4169.7,4179.7,4126.23,-0.64,1481574187008.0,10780.35,11015.58,11015.58,10750.59,-1.86,1241034522624.0,14169.4,14397.68,14458.88,14113.17,-1.37,2169490505728.0,4761.03,4798.05,4836.95,4745.52,-0.6,801054982144.0,2514,6282,182,101,127,9206,3981.55,3950.3,盘整,上涨,False
2026-01-14,4126.09,4138.65,4190.87,4103.62,-0.31,1607041286144.0,10881.05,10777.44,11071.19,10732.58,0.93,1309384245248.0,14248.6,14194.11,14459.21,14099.98,0.56,2334442913792.0,4741.93,4767.7,4818.1,4720.25,-0.4,891334230016.0,4780,3996,202,179,20,9177,3994.46,3954.67,盘整,上涨,False
2026-01-15,4112.6,4106.22,4133.07,4096.85,-0.33,1175915069440.0,10815.73,10782.23,10861.58,10703.82,-0.6,940334710784.0,14306.73,14158.66,14328.6,14155.5,0.41,1729648263168.0,4751.43,4721.8,4769.55,4720.94,0.2,674058665984.0,3646,5142,194,73,122,9177,4008.85,3957.94,盘整,上涨,False
2026-01-16,4101.91,4127.06,4140.23,4091.81,-0.26,1338017316864.0,10813.63,10855.8,10890.63,10742.25,-0.02,935744372736.0,14281.08,14374.54,14424.35,14257.59,-0.18,1688305139712.0,4731.87,4778.43,4792.55,4715.36,-0.41,785624137728.0,3823,4970,192,99,78,9162,4020.43,3961.08,盘整,上涨,False
2026-01-19,4114.0,4090.72,4126.52,4090.06,0.29,1190137823232.0,10885.58,10773.85,10916.49,10764.0,0.67,857524207616.0,14294.05,14221.93,14392.88,14221.93,0.09,1518289551360.0,4734.46,4720.19,4761.63,4715.09,0.05,655149236224.0,5496,3312,180,119,37,9144,4032.31,3964.27,盘整,上涨,False
2026-01-20,4113.65,4116.37,4128.93,4080.29,-0.01,1221485658112.0,10757.62,10888.84,10925.89,10677.34,-1.18,872402649088.0,14155.63,14307.55,14337.12,14033.22,-0.97,1556313014272.0,4718.88,4736.91,4748.23,4684.97,-0.33,671960662016.0,3445,5346,203,71,35,9100,4043.47,3966.99,盘整,上涨,False
2026-01-21,4116.94,4103.53,4135.96,4103.53,0.08,1180184608768.0,10859.29,10695.15,10888.08,10681.59,0.95,828534947840.0,14255.13,14102.21,14320.94,14102.21,0.7,1420516917248.0,4723.07,4714.55,4758.28,4714.24,0.09,665330515968.0,5474,3228,297,124,9,9132,4053.45,3968.99,盘整,上涨,False
2026-01-22,4122.58,4126.07,4140.84,4109.92,0.14,1201764171776.0,10955.56,10884.41,10955.56,10863.82,0.89,829005889536.0,14327.05,14313.63,14374.51,14223.34,0.5,1489968431104.0,4723.71,4741.75,4757.76,4700.45,0.01,690235244544.0,6027,2745,227,110,5,9114,4063.58,3971.23,盘整,上涨,False
2026-01-23,4136.16,4130.11,4143.75,4120.2,0.33,1336857067520.0,11173.26,10989.65,11173.26,10974.04,1.99,989057384448.0,14439.66,14349.01,14449.84,14320.51,0.79,1748367048704.0,4702.5,4729.59,4734.79,4684.62,-0.45,755617759232.0,6547,2229,224,182,8,9190,4073.34,3973.23,盘整,上涨,False
2026-01-26,4132.61,4144.78,4160.99,4124.7,-0.09,1451859902464.0,11021.31,11216.76,11230.61,10935.01,-1.36,1027841196032.0,14316.64,14492.42,14532.9,14277.67,-0.85,1796342808576.0,4706.96,4715.38,4754.18,4693.16,0.09,796832956416.0,2711,6134,159,116,86,9206,4081.99,3975.66,盘整,上涨,False
2026-01-27,4139.9,4125.22,4158.8,4101.83,0.18,1289432334336.0,11058.56,10962.29,11077.64,10771.41,0.34,917875785728.0,14329.91,14283.78,14403.6,14105.13,0.09,1605549162496.0,4705.69,4705.17,4736.99,4675.64,-0.03,715267899392.0,3619,5214,170,90,8,9101,4090.8,3978.74,盘整,上涨,False
2026-01-28,4151.24,4150.22,4170.15,4138.02,0.27,1365526052864.0,11049.32,11064.1,11101.2,10989.19,-0.08,903742554112.0,14342.89,14371.96,14411.65,14234.89,0.09,1599884230656.0,4717.99,4725.6,4739.63,4697.91,0.26,829414047744.0,3588,5244,176,134,22,9164,4100.1,3981.66,盘整,上涨,False
2026-01-29,4157.98,4155.92,4170.21,4138.3,0.16,1485795360768.0,10929.75,11019.13,11135.63,10905.44,-1.08,989061120000.0,14300.08,14332.7,14418.09,14252.2,-0.3,1744212983808.0,4753.87,4733.09,4770.96,4696.05,0.76,917966159872.0,3427,5435,154,126,28,9170,4109.74,3984.95,盘整,盘整,False
2026-01-30,4117.95,4131.99,4152.85,4064.78,-0.96,1269855682560.0,10865.03,10831.8,10923.52,10629.91,-0.59,860260663296.0,14205.89,14214.14,14291.57,13923.95,-0.66,1565682040832.0,4706.34,4723.08,4738.87,4645.47,-1.0,750564868096.0,3257,5587,173,82,97,9196,4117.2,3987.43,盘整,盘整,False
2026-02-02,4015.75,4079.71,4103.41,4013.66,-2.48,1163532697600.0,10532.09,10763.13,10850.36,10532.09,-3.06,760263802880.0,13824.35,14128.87,14213.61,13815.28,-2.69,1421232439296.0,4605.98,4674.28,4716.61,4601.76,-2.13,725920382976.0,939,8022,59,51,222,9293,4116.81,3987.56,上涨,盘整,False
2026-02-03,4067.74,4043.91,4069.42,4002.78,1.29,1110720249856.0,10855.97,10642.83,10856.73,10617.02,3.08,786830852096.0,14127.11,13986.89,14129.6,13815.23,2.19,1433511264256.0,4660.11,4648.36,4662.13,4578.21,1.18,666626818048.0,8040,869,118,144,20,9191,4116.02,3988.73,上涨,下跌,False
2026-02-04,4102.2,4064.68,4104.62,4062.68,0.85,1063544750080.0,10851.89,10828.05,10861.22,10720.9,-0.04,783436808192.0,14156.27,14072.41,14173.77,13958.08,0.21,1417426370560.0,4698.68,4647.97,4701.48,4641.84,0.83,636018622464.0,5512,3360,158,78,31,9139,4116.84,3990.13,上涨,下跌,False
2026-02-05,4075.92,4075.03,4088.9,4048.94,-0.64,946988908544.0,10670.75,10736.28,10784.12,10626.34,-1.67,677572837376.0,13952.71,14020.84,14074.36,13874.02,-1.44,1229230571520.0,4670.42,4664.75,4687.02,4639.43,-0.6,550433193984.0,2338,6488,200,59,42,9127,4116.48,3991.35,上涨,下跌,False
2026-02-06,4065.58,4040.3,4095.03,4029.97,-0.25,898655059968.0,10676.48,10567.11,10799.94,10534.27,0.05,689299062784.0,13906.73,13801.03,14065.78,13726.86,-0.33,1247064358912.0,4643.6,4622.97,4678.26,4606.64,-0.57,505759793152.0,4158,4588,275,79,12,9112,4113.74,3992.44,上涨,盘整,False
2026-02-09,4123.09,4103.54,4123.16,4093.06,1.41,949726347264.0,10910.44,10834.34,10910.81,10799.54,2.19,744978644992.0,14208.44,14115.14,14211.7,14060.67,2.17,1299746914304.0,4719.06,4693.67,4719.96,4679.9,1.63,522757275648.0,7940,952,133,140,6,9171,4111.63,3994.0,上涨,盘整,False
2026-02-10,4128.37,4127.77,4134.34,4117.56,0.13,882201722880.0,10913.54,10917.06,10946.72,10854.77,0.03,721661198336.0,14210.63,14200.76,14258.51,14165.43,0.02,1223333511168.0,4724.3,4718.26,4732.09,4713.87,0.11,450339569664.0,4151,4586,294,79,13,9123,4111.11,3996.29,上涨,盘整,False
2026-02-11,4131.99,4124.43,4142.56,4122.43,0.09,822607544320.0,10882.94,10894.56,10970.13,10881.41,-0.28,651372199936.0,14160.93,14186.65,14250.34,14156.16,-0.35,1161644867584.0,4713.82,4715.67,4723.7,4703.69,-0.22,433428627456.0,3629,5102,302,65,19,9117,4111.41,3998.96,上涨,盘整,False
2026-02-12,4134.02,4136.99,4140.59,4124.13,0.05,897955004416.0,10969.25,10901.3,11006.07,10860.42,0.79,706757656576.0,14283.0,14177.97,14296.48,14177.29,0.86,1243783364608.0,4719.58,4720.01,4726.04,4707.74,0.12,490473848832.0,4103,4762,169,95,35,9164,4112.48,4002.2,上涨,盘整,False
2026-02-13,4082.07,4115.92,4123.84,4079.77,-1.26,846808350720.0,10857.59,10920.86,11008.11,10851.15,-1.02,646443433984.0,14100.19,14188.35,14258.83,14092.84,-1.28,1135871655936.0,4660.41,4693.41,4703.63,4658.4,-1.25,452878598144.0,2090,6795,157,43,28,9113,4111.49,4004.45,上涨,下跌,False
2026-02-24,4117.41,4129.13,4131.55,4105.94,0.87,938611376128.0,10969.71,10991.39,11033.99,10872.66,1.03,705085308928.0,14291.57,14313.86,14376.96,14214.41,1.36,1263450456064.0,4707.54,4727.3,4727.37,4698.35,1.01,526084243456.0,6516,2383,141,153,37,9230,4111.66,4007.56,上涨,盘整,False
2026-02-25,4147.23,4123.78,4167.84,4122.7,0.72,1085969530880.0,11112.99,10989.16,11135.18,10963.84,1.31,772270981120.0,14475.87,14322.24,14512.85,14314.15,1.29,1376578174976.0,4735.89,4713.58,4766.56,4713.34,0.6,596903854080.0,6412,2406,227,110,11,9166,4113.34,4012.76,上涨,盘整,False
2026-02-26,4146.63,4151.07,4152.19,4127.15,-0.01,1067198709760.0,11210.37,11131.72,11216.89,11083.0,0.88,811894964224.0,14503.79,14495.86,14536.08,14408.88,0.19,1471247155200.0,4726.87,4741.39,4742.15,4706.69,-0.19,599848910848.0,3890,4943,210,92,13,9148,4114.82,4017.93,上涨,上涨,False
2026-02-27,4162.88,4128.9,4166.23,4128.36,0.39,1072367861760.0,11306.91,11137.33,11307.23,11132.32,0.86,808336687104.0,14495.09,14375.25,14497.96,14366.35,-0.06,1415655718912.0,4710.65,4698.3,4721.01,4692.89,-0.34,578820964352.0,5506,3269,265,100,1,9141,4116.84,4022.81,上涨,上涨,False
2026-03-02,4182.59,4151.8,4188.77,4131.37,0.47,1345892515840.0,11173.22,11167.24,11269.54,11077.91,-1.18,956752134144.0,14465.79,14327.65,14509.69,14285.67,-0.2,1674826219520.0,4728.67,4681.01,4735.41,4667.28,0.38,752681943040.0,2384,6532,127,156,33,9232,4119.16,4028.12,上涨,上涨,False
2026-03-03,4122.68,4189.41,4197.23,4116.01,-1.43,1425790205952.0,10706.97,11197.36,11211.62,10692.78,-4.17,969154035712.0,14022.39,14498.7,14526.06,14007.65,-3.07,1703720255488.0,4655.9,4737.32,4744.6,4651.4,-1.54,801659224064.0,1068,7926,59,121,136,9310,4118.66,4032.24,上涨,上涨,False
