trade_id,代码,信号日,买入日,卖出日,is_zt,lu_250d,lu_60d,lu_20d,est_float_cap,price,avg_amount_20d_yi,max_consec_zt,is_250d_high,days_since_last_zt,pre_vol_slope,pre_price_slope,pre_vol_expansion,pre_price_compression,pre_sum_chg,pre_pos_days,pre_close_pos,mkt_7pct_count,mkt_zt_count,mkt_avg_7pct_gain,mkt_hot_sector_count,mkt_sh_above_ma60,sec_zt_count,sec_avg_gain,sec_has_zhongjun,sec_stock_count,sec_is_top1,sec_rank,sec_pos_days_3d,key,评分,信号涨幅%,突破幅度%,量比MAVOL180,持有天数,label_3d_return,label_return_gt_5pct,label_return_gt_0pct,label_is_zt,label_max_return,label_max_drawdown,label_day1_return
42,603686,20250529,20250530,20250604,0,13,0,0,1770.0,16.18,6.2,3,1,0,12.78,0.68,1.92,1.15,11.58,5,0.55,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603686_20250529,80,10.0%,6.4,3.0,3,-0.0665,0,0,0,0.10129564193168426,-0.06654888103651359,0.03710247349823315
43,605366,20250529,20250530,20250604,0,14,6,4,138.6,6.46,0.5,2,0,0,4.07,-0.39,1.52,1.84,-4.26,2,0.3,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,605366_20250529,77,10.1%,5.1,4.6,3,-0.0512,0,0,0,-0.041538461538461476,-0.07384615384615391,-0.0646153846153846
44,002418,20250604,20250605,20250610,0,15,3,0,635.9,3.82,2.3,4,0,0,9.84,0.24,2.46,1.48,-0.2,3,0.51,137,92,10.23,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002418_20250604,75,10.1%,7.5,1.3,3,-0.062,0,0,0,-0.007633587786259605,-0.07888040712468194,-0.045801526717557293
45,600259,20250604,20250605,20250610,0,10,2,0,2548.7,52.03,8.5,2,1,0,-6.87,-0.09,0.83,1.22,2.15,3,1.0,137,92,10.23,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600259_20250604,80,10.0%,5.4,2.0,3,-0.042300000000000004,0,0,0,0.03142329020332709,-0.06099815157116459,-0.020147874306839248
46,603823,20250604,20250605,20250611,1,17,10,3,238.8,11.44,0.9,1,0,0,-1.94,-0.03,1.11,1.04,-0.7,6,0.35,137,92,10.23,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603823_20250604,75,10.0%,6.1,1.9,4,0.0617,1,1,1,0.1789297658862875,-0.04180602006688963,-0.017558528428093717
47,002370,20250605,20250606,20250611,0,15,2,2,302.0,3.95,1.1,3,0,0,1.32,0.49,1.12,1.42,3.27,4,0.83,127,91,10.71,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002370_20250605,85,10.0%,7.7,2.2,3,0.0336,0,1,0,0.06631299734747999,0.0,0.029177718832891213
48,002491,20250605,20250606,20250611,0,24,8,1,422.7,5.69,1.5,1,0,0,-0.31,0.18,0.96,0.92,1.3,4,0.82,127,91,10.71,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002491_20250605,80,10.1%,4.9,2.6,3,-0.0154,0,0,0,0.06101694915254227,-0.03050847457627129,0.018644067796610073
49,600589,20250605,20250606,20250611,0,12,3,0,3095.6,7.69,12.3,5,0,0,-3.53,-0.93,0.92,0.94,-7.47,4,0.19,127,91,10.71,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600589_20250605,62,10.0%,1.7,1.5,3,-0.0301,0,0,0,0.034263959390863005,-0.043147208121827395,0.013959390862944203
50,002716,20250606,20250609,20250612,0,18,0,0,563.6,3.89,2.1,1,0,0,4.54,0.23,1.86,1.87,1.53,4,0.54,96,62,10.07,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002716_20250606,70,9.9%,2.6,1.6,3,0.0144,0,1,0,0.051020408163265356,-0.007653061224489746,0.005102040816326535
51,603045,20250606,20250609,20250612,0,15,10,1,281.7,18.54,1.0,2,0,0,-0.58,0.53,1.26,0.99,5.19,5,0.9,96,62,10.07,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603045_20250606,70,10.0%,5.2,1.4,3,-0.0892,0,0,0,-0.028027498677948237,-0.09042834479111586,-0.03490216816499207
52,603083,20250606,20250609,20250612,0,22,6,1,3214.7,45.11,11.4,2,0,1,12.71,0.71,1.71,1.72,10.69,4,1.0,96,62,10.07,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603083_20250606,79,7.8%,5.0,2.5,3,-0.0046,0,0,0,0.04878048780487795,-0.05321507760532147,-0.022172949002217293
53,605303,20250606,20250609,20250612,0,21,4,0,193.2,11.97,0.7,4,0,6,14.78,1.11,1.4,1.07,11.91,6,0.73,96,62,10.07,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,605303_20250606,79,7.6%,5.2,2.6,3,0.013300000000000001,0,1,0,0.05971404541631615,-0.004205214465937823,0.0109335576114381
54,002961,20250609,20250610,20250613,1,8,1,0,680.0,19.27,2.4,2,1,17,18.21,1.73,2.75,3.93,12.96,7,0.56,160,107,10.83,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002961_20250609,79,9.0%,4.3,3.2,3,-0.0178,0,0,1,0.07362288135593224,-0.06461864406779655,-0.043432203389830525
55,603598,20250609,20250610,20250613,0,13,3,0,381.8,18.21,1.4,3,0,0,2.65,0.26,1.2,1.74,4.74,6,0.7,160,107,10.83,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603598_20250609,65,10.0%,0.7,1.2,3,-0.0202,0,0,0,0.0650000000000001,-0.026111111111111047,0.04999999999999992
56,002348,20250612,20250613,20250617,1,10,3,0,416.0,4.3,1.5,3,0,0,3.81,0.61,1.46,2.27,6.78,5,0.65,121,90,11.16,1,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002348_20250612,75,10.0%,3.4,2.4,2,0.0832,1,1,1,0.13012048192771083,-0.03373493975903628,0.026506024096385403
